content,type
WAUS45 KKCI 201639 AAA SLCZ WA 201639 AMD AIRMET ZULU UPDT 3 FOR ICE AND FRZLVL VALID UNTIL 202100 AIRMET ICE...AZ NM FROM 30NW SSO TO 20N DMN TO ELP TO 50S TUS TO 30NW SSO MOD ICE BTN FRZLVL AND FL180. FRZLVL 090-110. CONDS DVLPG 18-21Z. CONDS CONTG BYD 21Z THRU 03Z. FRZLVL...RANGING FROM SFC-110 ACRS AREA  MULT FRZLVL BLW 110 BOUNDED BY 20WNW BKE-20W DNJ-30NW TWF-  30SSW TWF-50N BAM-80WNW BAM-20WSW FMG-40NE RBL-20WSW LKV-  30SSW DSD-50SSW PDT-20WNW BKE  SFC ALG 20W BTY-50NE LAS-40SSE SJN-20N TCS-50NNW CME-TCC-  60NNE TCC  080 ALG 30S EED-30W ELP,AIRMET Hazard: ICE
WAUS45 KKCI 201639 AAA SLCZ WA 201639 AMD AIRMET ZULU UPDT 3 FOR ICE AND FRZLVL VALID UNTIL 202100 AIRMET ICE...NM FROM 20SW TXO TO INK TO ELP TO 20SW TXO MOD ICE BTN FRZLVL AND FL260. FRZLVL 050-130. CONDS ENDG BY 18Z. FRZLVL...RANGING FROM SFC-110 ACRS AREA  MULT FRZLVL BLW 110 BOUNDED BY 20WNW BKE-20W DNJ-30NW TWF-  30SSW TWF-50N BAM-80WNW BAM-20WSW FMG-40NE RBL-20WSW LKV-  30SSW DSD-50SSW PDT-20WNW BKE  SFC ALG 20W BTY-50NE LAS-40SSE SJN-20N TCS-50NNW CME-TCC-  60NNE TCC  080 ALG 30S EED-30W ELP,AIRMET Hazard: ICE
WAUS45 KKCI 201639 AAA SLCZ WA 201639 AMD AIRMET ZULU UPDT 3 FOR ICE AND FRZLVL VALID UNTIL 202100 AIRMET ICE...AZ NM...UPDT FROM 70WSW RSK TO 20NW FTI TO 70S FTI TO 40WNW TCS TO 80SW SJN TO 40SE DRK TO 40SSW TBC TO 70WSW RSK MOD ICE BTN FRZLVL AND FL180. FRZLVL 070-090. CONDS DVLPG BY 18Z. CONDS CONTG BYD 21Z ENDG 21-00Z. FRZLVL...RANGING FROM SFC-110 ACRS AREA  MULT FRZLVL BLW 110 BOUNDED BY 20WNW BKE-20W DNJ-30NW TWF-  30SSW TWF-50N BAM-80WNW BAM-20WSW FMG-40NE RBL-20WSW LKV-  30SSW DSD-50SSW PDT-20WNW BKE  SFC ALG 20W BTY-50NE LAS-40SSE SJN-20N TCS-50NNW CME-TCC-  60NNE TCC  080 ALG 30S EED-30W ELP,AIRMET Hazard: ICE
WAUS44 KKCI 201656 AAA DFWT WA 201656 AMD AIRMET TANGO UPDT 5 FOR TURB AND LLWS VALID UNTIL 202100 AIRMET TURB...OK TX AR LA MS KS MO...UPDT FROM 50E LAA TO OSW TO RZC TO 50NNW ELD TO 30S MHZ TO 50WNW TXK TO 20E SPS TO INK TO 30ESE TBE TO 50W LBL TO 50E LAA MOD TURB BTN FL220 AND FL430. CONDS CONTG BYD 21Z THRU 03Z. ...NEW AIRMET...,AIRMET Hazard: TURB
WAUS44 KKCI 201656 AAA DFWT WA 201656 AMD AIRMET TANGO UPDT 5 FOR TURB AND LLWS VALID UNTIL 202100 AIRMET TURB...AR TN LA MS AL MO AND CSTL WTRS...UPDT FROM HMV TO GQO TO 50SW PZD TO 40W CEW TO 50SW CEW TO 40ENE MCB TO 50NNW ELD TO RZC TO HMV MOD TURB BTN FL180 AND FL430. CONDS CONTG BYD 21Z THRU 03Z. ...NEW AIRMET... LLWS POTENTIAL...OK TX ND SD NE KS MN IA MO WI LM LS MI IL BOUNDED BY 50NNW ISN-YQT-50WNW SSM-40WNW PMM-20NNE AXC-20NNE MCI- 20SSE MMB-50W LBL-60E HLC-50SSW OBH-GLD-70SW RAP-50NNW ISN LLWS EXP. CONDS CONTG BYD 21Z THRU 03Z.,AIRMET Hazard: TURB
WAUS42 KKCI 201656 AAA MIAT WA 201656 AMD AIRMET TANGO UPDT 4 FOR TURB AND STG SFC WNDS VALID UNTIL 202100 AIRMET TURB...NC SC GA AND CSTL WTRS FROM 30ENE HMV TO 20NE ECG TO 20S ILM TO 50SE FLO TO 30NNE CAE TO 20W CAE TO ODF TO 30ENE HMV MOD TURB BLW 100. CONDS CONTG BYD 21Z ENDG 21-00Z. OTLK VALID 2100-0300Z AREA 1...TURB NC CT NY NJ PA OH LE WV MD DC DE VA AND CSTL WTRS BOUNDED BY 20ENE BUF-HNK-30W HTO-90SSE HTO-150SE SIE-120ESE ECG- 20ESE RDU-30ENE HMV-40SSW EKN-40E HNN-20WSW AIR-20NNW ERI-20ENE BUF MOD TURB BLW FL180. CONDS CONTG THRU 03Z. AREA 2...STG SFC WNDS NC MA RI CT NY NJ MD DE VA AND CSTL WTRS BOUNDED BY 30WSW PVD-140E ACK-200SE ACK-160SE SIE-190ESE ECG- 140ESE ILM-30NE ORF-20WSW SIE-30WSW PVD SUSTAINED SURFACE WINDS GTR THAN 30KT EXP. CONDS CONTG THRU 03Z.,AIRMET Hazard: TURB
WAUS43 KKCI 201656 AAA CHIT WA 201656 AMD AIRMET TANGO UPDT 5 FOR TURB STG WNDS AND LLWS VALID UNTIL 202100 AIRMET TURB...ND SD MN WI LS FROM 60NE MOT TO 60WNW INL TO 30SSW YQT TO 60S DLH TO 20WSW ABR TO 30SE DIK TO 60NE MOT MOD TURB BTN FL250 AND FL370. CONDS DVLPG 15-18Z. CONDS CONTG BYD 21Z THRU 03Z. OTLK VALID 2100-0300Z AREA 1...TURB ND SD MN WI LM LS MI LH BOUNDED BY 60SSW YWG-90ESE YQT-70NW YVV-30E TVC-30ENE ODI-20W ABR-DIK-60SSW YWG MOD TURB BTN FL250 AND FL370. CONDS CONTG THRU 03Z. AREA 2...STG SFC WNDS MN WI LM LS MI LH IL IN BOUNDED BY 20ESE YQT-20NNW SSM-40S SSM-20S PMM-40SE ORD-BAE-40S SAW-40NW SAW-50ESE DLH-60NE DLH-20ESE YQT SUSTAINED SURFACE WINDS GTR THAN 30KT EXP. CONDS CONTG THRU 03Z.,AIRMET Hazard: TURB
WAUS42 KKCI 201656 AAA MIAT WA 201656 AMD AIRMET TANGO UPDT 4 FOR TURB AND STG SFC WNDS VALID UNTIL 202100 AIRMET TURB...SC GA AND CSTL WTRS FROM ODF TO 20W CAE TO 30NNE CAE TO 50SE FLO TO 60S SAV TO 30SSE AMG TO 40SSE MCN TO 30WSW MCN TO ATL TO ODF MOD TURB BLW 080. CONDS CONTG BYD 21Z ENDG 21-00Z. OTLK VALID 2100-0300Z AREA 1...TURB NC CT NY NJ PA OH LE WV MD DC DE VA AND CSTL WTRS BOUNDED BY 20ENE BUF-HNK-30W HTO-90SSE HTO-150SE SIE-120ESE ECG- 20ESE RDU-30ENE HMV-40SSW EKN-40E HNN-20WSW AIR-20NNW ERI-20ENE BUF MOD TURB BLW FL180. CONDS CONTG THRU 03Z. AREA 2...STG SFC WNDS NC MA RI CT NY NJ MD DE VA AND CSTL WTRS BOUNDED BY 30WSW PVD-140E ACK-200SE ACK-160SE SIE-190ESE ECG- 140ESE ILM-30NE ORF-20WSW SIE-30WSW PVD SUSTAINED SURFACE WINDS GTR THAN 30KT EXP. CONDS CONTG THRU 03Z.,AIRMET Hazard: TURB
WAUS43 KKCI 201656 AAA CHIT WA 201656 AMD AIRMET TANGO UPDT 5 FOR TURB STG WNDS AND LLWS VALID UNTIL 202100 AIRMET TURB...ND SD MN IA WI LS MI FROM 70SW YWG TO 50WNW INL TO 30SSE YQT TO 30SSW RHI TO 60SSE RWF TO 40S ABR TO 30ESE BIS TO 70SW YWG MOD TURB BLW 120. CONDS DVLPG 18-21Z. CONDS CONTG BYD 21Z ENDG 00-03Z. OTLK VALID 2100-0300Z AREA 1...TURB ND SD MN WI LM LS MI LH BOUNDED BY 60SSW YWG-90ESE YQT-70NW YVV-30E TVC-30ENE ODI-20W ABR-DIK-60SSW YWG MOD TURB BTN FL250 AND FL370. CONDS CONTG THRU 03Z. AREA 2...STG SFC WNDS MN WI LM LS MI LH IL IN BOUNDED BY 20ESE YQT-20NNW SSM-40S SSM-20S PMM-40SE ORD-BAE-40S SAW-40NW SAW-50ESE DLH-60NE DLH-20ESE YQT SUSTAINED SURFACE WINDS GTR THAN 30KT EXP. CONDS CONTG THRU 03Z.,AIRMET Hazard: TURB
WAUS43 KKCI 201656 AAA CHIT WA 201656 AMD AIRMET TANGO UPDT 5 FOR TURB STG WNDS AND LLWS VALID UNTIL 202100 AIRMET TURB...SD NE KS IA MO IL IN KY...UPDT FROM 60SSE PIR TO 20SSE MCW TO 20ENE IIU TO 30W BKW TO HMV TO RZC TO OSW TO 50E LAA TO GLD TO BFF TO 60SSE PIR MOD TURB BTN FL180 AND FL410. CONDS CONTG BYD 21Z THRU 03Z. OTLK VALID 2100-0300Z AREA 1...TURB ND SD MN WI LM LS MI LH BOUNDED BY 60SSW YWG-90ESE YQT-70NW YVV-30E TVC-30ENE ODI-20W ABR-DIK-60SSW YWG MOD TURB BTN FL250 AND FL370. CONDS CONTG THRU 03Z. AREA 2...STG SFC WNDS MN WI LM LS MI LH IL IN BOUNDED BY 20ESE YQT-20NNW SSM-40S SSM-20S PMM-40SE ORD-BAE-40S SAW-40NW SAW-50ESE DLH-60NE DLH-20ESE YQT SUSTAINED SURFACE WINDS GTR THAN 30KT EXP. CONDS CONTG THRU 03Z.,AIRMET Hazard: TURB
