born_date,born_year,current_team,height,name,weight
,,, ,Kevin Cormier,(Age: 34-352d)
November 6,1997, ,6-3,Evan Cormier,200lb
December 18,1967, ,6-2,Bob Corkum,225lb
November 5,1991, ,6-5,Jared Coreau,214lb
August 15,1931, ,5-10,Norm Corcoran,160lb
August 7,2000, ,6-2,Connor Corcoran,185lb
,,, ,J.D. Corbin,(Age: 35-296d)
October 4,1942, ,6-2,Mike Corbett,195lb
June 25,1973, ,6-0,Rene Corbet,195lb
,,, ,Nicolas Corbeil,(Age: 37-289d)
,,, ,Mathieu Corbeil,(Age: 29-108d)
February 9,1894, ,5-11,Bert Corbeau,200lb
April 21,1979, ,5-10,Carl Corazzini,182lb
November 15,1918, ,5-11,Bobby Copp,180lb
July 8,1994,Winnipeg Jets,6-1,Andrew Copp,206lb
January 18,1992, ,6-4,Pheonix Copley,200lb
December 14,1914, ,6-2,Joe Cooper,200lb
November 1,1993, ,5-10,Brian Cooper,197lb
February 8,1945, ,5-10,Gaye Cooley,185lb
September 7,1978, ,5-11,Matt Cooke,205lb
May 7,1907, ,5-7,Tom Cook,140lb
,,, ,Tim Cook,(Age: 36-306d)
March 21,1890, ,6-0,Lloyd Cook,170lb
September 18,1903, ,5-11,Bun Cook,180lb
November 20,1907, ,5-10,Bud Cook,160lb
January 6,1946, ,6-0,Bob Cook,190lb
October 9,1896, ,5-10,Bill Cook,170lb
December 16,1910, ,5-11,Eddie Convey,165lb
February 4,1974, ,6-1,Brandon Convery,195lb
January 29,1957, ,5-10,Joe Contini,178lb
April 30,1954, ,6-1,Charles Constantin,192lb
August 28,1951, ,6-0,Mike Conroy,180lb
September 4,1971, ,6-2,Craig Conroy,193lb
January 17,1966, ,5-8,Al Conroy,170lb
October 19,1904, ,5-9,Bob Connors,165lb
December 9,1996,Winnipeg Jets,6-1,Kyle Connor,182lb
December 3,1904, ,6-0,Harry Connor,195lb
August 10,1954, ,6-2,Cam Connor,200lb
May 7,1981, ,6-1,Tim Connolly,190lb
July 3,1989, ,5-9,Mike Connolly,180lb
February 8,1902, ,5-9,Alec Connell,150lb
February 23,1990,Florida Panthers,6-2,Kevin Connauton,205lb
September 3,1968, ,6-2,Rob Conn,200lb
October 25,1904, ,5-11,Red Conn,180lb
March 30,1976, ,6-1,Ty Conklin,185lb
August 6,1986, ,5-11,Erik Condra,185lb
,,, ,Nathan Condon,(Age: 30-229d)
April 27,1990, ,6-2,Mike Condon,195lb
March 22,1982, ,6-2,Tim Conboy,210lb
,,, ,Andrew Conboy,(Age: 32-242d)
October 5,1916, ,6-2,Roy Conacher,175lb
July 29,1932, ,5-10,Pete Conacher,165lb
May 1,1959, ,5-8,Pat Conacher,190lb
May 24,1901, ,6-2,Lionel Conacher,195lb
May 5,1921, ,5-10,Jim Conacher,155lb
December 14,1989, ,5-8,Cory Conacher,180lb
December 20,1909, ,6-1,Charlie Conacher,195lb
August 31,1941, ,6-3,Brian Conacher,197lb
January 8,1999,Anaheim Ducks,6-2,Max Comtois,215lb
February 7,1977, ,5-11,Paul Comrie,192lb
September 11,1980, ,5-10,Mike Comrie,185lb
July 6,1995,New Jersey Devils,6-1,Eric Comrie,175lb
July 31,1990, ,6-4,Adam Comrie,220lb
April 8,1995,Colorado Avalanche,6-0,J.T. Compher,190lb
November 7,1979, ,6-4,Mike Commodore,227lb
July 19,2002, ,6-2,Drew Commesso,180lb
October 25,1948, ,5-8,Rey Comeau,190lb
February 18,1986,Dallas Stars,6-1,Blake Comeau,200lb
January 8,1916, ,5-9,Mac Colville,175lb
September 11,1996, ,6-0,Ross Colton,202lb
August 4,1968, ,6-3,Michael Colman,225lb
,,, ,Shawn Collymore,(Age: 37-256d)
October 16,1949, ,5-9,Bob Collyard,170lb
January 13,1985, ,6-2,Jeremy Colliton,195lb
December 29,1988, ,6-3,Sean Collins,184lb
October 30,1983, ,6-1,Sean Collins,205lb
February 9,1983, ,5-9,Sean Collins,170lb
May 6,1996, ,6-5,Ryan Collins,212lb
March 15,1978, ,5-10,Rob Collins,174lb
September 27,1935, ,5-11,Gary Collins,185lb
,,, ,Dusty Collins,(Age: 35-320d)
,,, ,Dan Collins,(Age: 33-322d)
July 13,1943, ,6-1,Bill Collins,178lb
May 6,1910, ,6-2,Norm Collings,175lb
,,, ,Brendan Collier,(Age: 27-097d)
August 21,1953, ,5-9,Tom Colley,162lb
January 4,1979, ,5-10,Kevin Colley,175lb
